Timestamp,Dominant Emotion,Emotion Scores,Intensity Scores,FPS,Efficiency,Alerts
2025-09-02 23:40:27,happy,"{'angry': np.float32(0.11019368), 'disgust': np.float32(0.15113735), 'fear': np.float32(0.7596113), 'happy': np.float32(97.91791), 'sad': np.float32(0.30815938), 'surprise': np.float32(0.2572358), 'neutral': np.float32(0.49574426)}","{'angry': np.float32(0.11019368), 'disgust': np.float32(0.15113735), 'fear': np.float32(0.7596113), 'happy': np.float32(97.91791), 'sad': np.float32(0.30815938), 'surprise': np.float32(0.2572358), 'neutral': np.float32(0.49574426), 'stress': np.float64(0.3335927426815033)}",5.75,19.17,
2025-09-02 23:40:27,happy,"{'angry': np.float32(31.754145), 'disgust': np.float32(4.468251e-06), 'fear': np.float32(0.076239616), 'happy': np.float32(44.586384), 'sad': np.float32(1.2958386), 'surprise': np.float32(0.42540586), 'neutral': np.float32(21.861979)}","{'angry': np.float32(31.754145), 'disgust': np.float32(4.468251e-06), 'fear': np.float32(0.076239616), 'happy': np.float32(44.586384), 'sad': np.float32(1.2958386), 'surprise': np.float32(0.42540586), 'neutral': np.float32(21.861979), 'stress': np.float64(12.983697891235352)}",9.01,30.04,
2025-09-02 23:40:27,angry,"{'angry': np.float32(65.55587), 'disgust': np.float32(0.09512627), 'fear': np.float32(4.5207233), 'happy': np.float32(1.3672739), 'sad': np.float32(0.11091274), 'surprise': np.float32(28.100367), 'neutral': np.float32(0.24973701)}","{'angry': np.float32(65.55587), 'disgust': np.float32(0.09512627), 'fear': np.float32(4.5207233), 'happy': np.float32(1.3672739), 'sad': np.float32(0.11091274), 'surprise': np.float32(28.100367), 'neutral': np.float32(0.24973701), 'stress': np.float64(27.60074806213379)}",6.31,21.03,
2025-09-02 23:40:27,neutral,"{'angry': np.float32(11.458756), 'disgust': np.float32(0.1902791), 'fear': np.float32(4.0505996), 'happy': np.float32(28.235775), 'sad': np.float32(7.7796965), 'surprise': np.float32(2.6904461), 'neutral': np.float32(45.594444)}","{'angry': np.float32(11.458756), 'disgust': np.float32(0.1902791), 'fear': np.float32(4.0505996), 'happy': np.float32(28.235775), 'sad': np.float32(7.7796965), 'surprise': np.float32(2.6904461), 'neutral': np.float32(45.594444), 'stress': np.float64(7.354621887207031)}",5.46,18.19,
2025-09-02 23:40:28,angry,"{'angry': np.float32(76.14044), 'disgust': np.float32(8.840235e-06), 'fear': np.float32(0.0034257707), 'happy': np.float32(23.43363), 'sad': np.float32(0.039778747), 'surprise': np.float32(0.00038702204), 'neutral': np.float32(0.38233605)}","{'angry': np.float32(76.14044), 'disgust': np.float32(8.840235e-06), 'fear': np.float32(0.0034257707), 'happy': np.float32(23.43363), 'sad': np.float32(0.039778747), 'surprise': np.float32(0.00038702204), 'neutral': np.float32(0.38233605), 'stress': np.float64(30.465160369873047)}",3.17,10.56,ANGRY ALERT!
2025-09-02 23:40:28,angry,"{'angry': np.float32(66.12582), 'disgust': np.float32(0.31421947), 'fear': np.float32(31.312634), 'happy': np.float32(1.4735061), 'sad': np.float32(0.45263535), 'surprise': np.float32(0.11354514), 'neutral': np.float32(0.20764622)}","{'angry': np.float32(66.12582), 'disgust': np.float32(0.31421947), 'fear': np.float32(31.312634), 'happy': np.float32(1.4735061), 'sad': np.float32(0.45263535), 'surprise': np.float32(0.11354514), 'neutral': np.float32(0.20764622), 'stress': np.float64(35.93464279174805)}",7.16,23.88,
2025-09-02 23:40:28,angry,"{'angry': np.float32(30.063656), 'disgust': np.float32(0.0005248259), 'fear': np.float32(27.986643), 'happy': np.float32(0.10939183), 'sad': np.float32(18.86539), 'surprise': np.float32(0.4765497), 'neutral': np.float32(22.497843)}","{'angry': np.float32(30.063656), 'disgust': np.float32(0.0005248259), 'fear': np.float32(27.986643), 'happy': np.float32(0.10939183), 'sad': np.float32(18.86539), 'surprise': np.float32(0.4765497), 'neutral': np.float32(22.497843), 'stress': np.float64(24.194534301757812)}",6.38,21.26,
2025-09-02 23:40:28,happy,"{'angry': np.float32(22.349918), 'disgust': np.float32(0.0043708016), 'fear': np.float32(2.798669), 'happy': np.float32(61.88221), 'sad': np.float32(6.4911327), 'surprise': np.float32(5.641526), 'neutral': np.float32(0.8321651)}","{'angry': np.float32(22.349918), 'disgust': np.float32(0.0043708016), 'fear': np.float32(2.798669), 'happy': np.float32(61.88221), 'sad': np.float32(6.4911327), 'surprise': np.float32(5.641526), 'neutral': np.float32(0.8321651), 'stress': np.float64(11.077794075012207)}",7.71,25.71,
2025-09-02 23:40:28,surprise,"{'angry': np.float32(0.0815817), 'disgust': np.float32(1.266647e-05), 'fear': np.float32(1.3012317), 'happy': np.float32(1.9715749), 'sad': np.float32(0.061804608), 'surprise': np.float32(74.779205), 'neutral': np.float32(21.804596)}","{'angry': np.float32(0.0815817), 'disgust': np.float32(1.266647e-05), 'fear': np.float32(1.3012317), 'happy': np.float32(1.9715749), 'sad': np.float32(0.061804608), 'surprise': np.float32(74.779205), 'neutral': np.float32(21.804596), 'stress': np.float64(0.43536314368247986)}",7.06,23.52,
2025-09-02 23:40:29,neutral,"{'angry': np.float32(0.0017567743), 'disgust': np.float32(9.543036e-09), 'fear': np.float32(0.07996903), 'happy': np.float32(34.369614), 'sad': np.float32(0.017481618), 'surprise': np.float32(9.42483), 'neutral': np.float32(56.106346)}","{'angry': np.float32(0.0017567743), 'disgust': np.float32(9.543036e-09), 'fear': np.float32(0.07996903), 'happy': np.float32(34.369614), 'sad': np.float32(0.017481618), 'surprise': np.float32(9.42483), 'neutral': np.float32(56.106346), 'stress': np.float64(0.02818974293768406)}",8.25,27.5,
2025-09-02 23:40:29,neutral,"{'angry': np.float32(0.002955102), 'disgust': np.float32(3.6977998e-09), 'fear': np.float32(0.003241019), 'happy': np.float32(0.08561282), 'sad': np.float32(0.012937275), 'surprise': np.float32(0.0777716), 'neutral': np.float32(99.81749)}","{'angry': np.float32(0.002955102), 'disgust': np.float32(3.6977998e-09), 'fear': np.float32(0.003241019), 'happy': np.float32(0.08561282), 'sad': np.float32(0.012937275), 'surprise': np.float32(0.0777716), 'neutral': np.float32(99.81749), 'stress': np.float64(0.004741801880300045)}",7.96,26.54,
2025-09-02 23:40:29,neutral,"{'angry': np.float32(0.26093423), 'disgust': np.float32(0.00022673958), 'fear': np.float32(0.48502603), 'happy': np.float32(0.782837), 'sad': np.float32(4.385131), 'surprise': np.float32(1.7575752), 'neutral': np.float32(92.32828)}","{'angry': np.float32(0.26093423), 'disgust': np.float32(0.00022673958), 'fear': np.float32(0.48502603), 'happy': np.float32(0.782837), 'sad': np.float32(4.385131), 'surprise': np.float32(1.7575752), 'neutral': np.float32(92.32828), 'stress': np.float64(1.1269077062606812)}",8.08,26.93,
2025-09-02 23:40:29,neutral,"{'angry': np.float32(0.006640333), 'disgust': np.float32(1.4931681e-09), 'fear': np.float32(0.040606473), 'happy': np.float32(0.00059256604), 'sad': np.float32(0.039321747), 'surprise': np.float32(0.17017518), 'neutral': np.float32(99.74267)}","{'angry': np.float32(0.006640333), 'disgust': np.float32(1.4931681e-09), 'fear': np.float32(0.040606473), 'happy': np.float32(0.00059256604), 'sad': np.float32(0.039321747), 'surprise': np.float32(0.17017518), 'neutral': np.float32(99.74267), 'stress': np.float64(0.022702425718307495)}",6.42,21.39,
2025-09-02 23:40:29,neutral,"{'angry': np.float32(0.011325294), 'disgust': np.float32(2.2965837e-06), 'fear': np.float32(0.26627088), 'happy': np.float32(0.5071987), 'sad': np.float32(0.06292884), 'surprise': np.float32(4.892383), 'neutral': np.float32(94.259895)}","{'angry': np.float32(0.011325294), 'disgust': np.float32(2.2965837e-06), 'fear': np.float32(0.26627088), 'happy': np.float32(0.5071987), 'sad': np.float32(0.06292884), 'surprise': np.float32(4.892383), 'neutral': np.float32(94.259895), 'stress': np.float64(0.09699714928865433)}",5.79,19.3,
2025-09-02 23:40:29,neutral,"{'angry': np.float32(0.0015903176), 'disgust': np.float32(6.7341693e-06), 'fear': np.float32(0.090742685), 'happy': np.float32(7.8380723), 'sad': np.float32(0.123691425), 'surprise': np.float32(1.1407422), 'neutral': np.float32(90.80515)}","{'angry': np.float32(0.0015903176), 'disgust': np.float32(6.7341693e-06), 'fear': np.float32(0.090742685), 'happy': np.float32(7.8380723), 'sad': np.float32(0.123691425), 'surprise': np.float32(1.1407422), 'neutral': np.float32(90.80515), 'stress': np.float64(0.05259721726179123)}",6.13,20.42,
2025-09-02 23:40:30,neutral,"{'angry': np.float32(0.09408368), 'disgust': np.float32(4.7414655e-05), 'fear': np.float32(0.77797455), 'happy': np.float32(0.8001602), 'sad': np.float32(0.32475218), 'surprise': np.float32(5.503978), 'neutral': np.float32(92.49901)}","{'angry': np.float32(0.09408368), 'disgust': np.float32(4.7414655e-05), 'fear': np.float32(0.77797455), 'happy': np.float32(0.8001602), 'sad': np.float32(0.32475218), 'surprise': np.float32(5.503978), 'neutral': np.float32(92.49901), 'stress': np.float64(0.3359762728214264)}",6.19,20.64,
2025-09-02 23:40:30,neutral,"{'angry': np.float32(0.027045915), 'disgust': np.float32(2.7532776e-06), 'fear': np.float32(0.09105811), 'happy': np.float32(10.914277), 'sad': np.float32(0.042602487), 'surprise': np.float32(6.383918), 'neutral': np.float32(82.5411)}","{'angry': np.float32(0.027045915), 'disgust': np.float32(2.7532776e-06), 'fear': np.float32(0.09105811), 'happy': np.float32(10.914277), 'sad': np.float32(0.042602487), 'surprise': np.float32(6.383918), 'neutral': np.float32(82.5411), 'stress': np.float64(0.046656299382448196)}",8.04,26.8,
2025-09-02 23:40:30,neutral,"{'angry': np.float32(0.09166018), 'disgust': np.float32(8.193653e-08), 'fear': np.float32(0.10189583), 'happy': np.float32(0.020978201), 'sad': np.float32(0.13190226), 'surprise': np.float32(6.205328), 'neutral': np.float32(93.448235)}","{'angry': np.float32(0.09166018), 'disgust': np.float32(8.193653e-08), 'fear': np.float32(0.10189583), 'happy': np.float32(0.020978201), 'sad': np.float32(0.13190226), 'surprise': np.float32(6.205328), 'neutral': np.float32(93.448235), 'stress': np.float64(0.09361328184604645)}",7.95,26.5,
2025-09-02 23:40:30,neutral,"{'angry': np.float32(6.5614034e-07), 'disgust': np.float32(1.965231e-18), 'fear': np.float32(8.858718e-07), 'happy': np.float32(8.424628e-06), 'sad': np.float32(5.1037096e-05), 'surprise': np.float32(0.0076875375), 'neutral': np.float32(99.99225)}","{'angry': np.float32(6.5614034e-07), 'disgust': np.float32(1.965231e-18), 'fear': np.float32(8.858718e-07), 'happy': np.float32(8.424628e-06), 'sad': np.float32(5.1037096e-05), 'surprise': np.float32(0.0076875375), 'neutral': np.float32(99.99225), 'stress': np.float64(1.073563726095017e-05)}",6.29,20.97,
2025-09-02 23:40:30,neutral,"{'angry': np.float32(1.0935928), 'disgust': np.float32(1.129807e-05), 'fear': np.float32(4.9992557), 'happy': np.float32(0.020837374), 'sad': np.float32(25.252783), 'surprise': np.float32(0.012336287), 'neutral': np.float32(68.62119)}","{'angry': np.float32(1.0935928), 'disgust': np.float32(1.129807e-05), 'fear': np.float32(4.9992557), 'happy': np.float32(0.020837374), 'sad': np.float32(25.252783), 'surprise': np.float32(0.012336287), 'neutral': np.float32(68.62119), 'stress': np.float64(6.9877705574035645)}",6.32,21.06,
